Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;HxG;AxG;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2026;New Zealand;Egypt;22.06.2026;02:00;1;3;1;0;0;3;;;;;90 minutes;11;19;5;7;14;8;4;3;2;1;0;0;1,24;1,87;5,75;3,9;1,62;6,2;4;1,68;6;4;1,67;5,64;3,76;1,61
World Cup 2026;Argentina;Austria;22.06.2026;18:00;2;0;1;0;1;0;;;;;90 minutes;12;6;5;1;13;13;1;3;2;2;0;0;2,36;0,53;1,44;4,33;7,5;1,49;4,5;8,8;1,48;4,4;8;1,44;4,33;7,32
World Cup 2026;France;Iraq;22.06.2026;22:00;3;0;1;0;2;0;;;;;90 minutes;19;4;5;0;8;4;4;2;0;1;0;0;2,67;0,62;1,07;12;26;1,09;15;48;1,09;14;36;1,07;12,03;28,13
World Cup 2026;Norway;Senegal;23.06.2026;01:00;3;2;1;0;2;2;;;;;90 minutes;13;16;7;4;13;5;5;4;0;0;0;0;2,19;1,71;2,4;3,5;2,88;2,6;3,5;3;2,5;3,5;3,05;2,39;3,39;2,85
World Cup 2026;Jordan;Algeria;23.06.2026;04:00;1;2;1;0;0;2;;;;;90 minutes;8;17;4;8;11;6;1;10;1;1;0;0;0,64;1,89;7;4,5;1,45;7,6;4,7;1,51;7,5;4,5;1,53;6,87;4,37;1,46
World Cup 2026;Portugal;Uzbekistan;23.06.2026;18:00;5;0;3;0;2;0;;;;;90 minutes;17;7;9;2;14;15;3;2;1;1;0;0;2,6;0,25;1,13;9;19;1,16;9,6;25;1,17;9;22;1,13;8,48;19,31
World Cup 2026;England;Ghana;23.06.2026;21:00;0;0;0;0;0;0;;;;;90 minutes;19;2;3;1;14;24;9;2;1;1;0;0;1,36;0,17;1,18;7,5;15;1,2;8,2;21;1,2;8;19;1,17;7,29;15,28
World Cup 2026;Panama;Croatia;24.06.2026;00:00;0;1;0;0;0;1;;;;;90 minutes;8;6;1;2;19;12;7;2;1;1;0;0;0,55;1,65;7,5;4,6;1,42;9;4,8;1,45;8;4,8;1,44;7,82;4,55;1,4
World Cup 2026;Colombia;D.R. Congo;24.06.2026;03:00;1;0;0;0;1;0;;;;;90 minutes;20;7;9;1;12;16;5;4;2;1;0;0;0,98;0,37;1,53;3,9;7;1,56;4,1;8;1,55;4,1;7,1;1,52;3,93;6,71
World Cup 2026;Bosnia & Herzegovina;Qatar;24.06.2026;20:00;3;1;2;1;1;0;;;;;90 minutes;14;9;5;3;9;14;5;5;1;1;0;0;0,68;0,77;1,4;5;7;1,45;5,2;8;1,45;5,2;8;1,4;4,87;7,02
World Cup 2026;Switzerland;Canada;24.06.2026;20:00;2;1;0;0;2;1;;;;;90 minutes;6;13;4;7;19;13;2;7;1;2;0;0;1,12;1,66;2,6;3;3;2,7;3;3,3;2,6;3,1;3,25;2,47;2,95;3,11
World Cup 2026;Morocco;Haiti;24.06.2026;23:00;4;2;2;2;2;0;;;;;90 minutes;22;9;11;2;10;18;9;1;0;3;0;0;3,76;1,22;1,33;5,5;9;1,32;6;12;1,33;6,25;12;1,28;5,66;9,93
World Cup 2026;Scotland;Brazil;24.06.2026;23:00;0;3;0;2;0;1;;;;;90 minutes;14;21;5;9;10;11;7;6;1;2;0;0;1,05;4,34;10;5,5;1,29;11,5;5,6;1,35;11;5,75;1,35;9,9;5,28;1,3
World Cup 2026;Czech Republic;Mexico;25.06.2026;02:00;0;3;0;0;0;3;;;;;90 minutes;13;11;1;5;9;13;5;1;0;1;0;0;0,48;1,75;4,2;3,9;1,75;4,9;4,1;1,79;4,85;4;1,77;4,42;3,84;1,73
World Cup 2026;South Africa;South Korea;25.06.2026;02:00;1;0;0;0;1;0;;;;;90 minutes;13;8;4;3;7;9;4;6;1;1;0;0;1,16;0,91;5,25;3,75;1,67;5,8;3,8;1,76;6;3,75;1,7;5,42;3,64;1,66
World Cup 2026;Curacao;Ivory Coast;25.06.2026;21:00;0;2;0;1;0;1;;;;;90 minutes;11;7;2;3;11;6;4;6;2;1;0;0;0,5;1,31;15;8;1,17;18,5;8,6;1,2;19;8,25;1,19;16,09;7,72;1,16
