Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
China,Super League,2025,17/10/2025,13:00,Qingdao West Coast,Shanghai Shenhua,1,2,A,7.01,4.96,1.43,5.6,4.5,1.52,5.18,4.4,1.49,6.4,4.8,1.55,5.25,4.33,1.51
China,Super League,2025,18/10/2025,09:00,Shenzhen Xinpengcheng,Beijing Guoan,2,1,H,4.26,4.27,1.75,3.3,4,2.05,3.11,3.84,1.97,3.35,4.2,2.1,3.05,3.9,2.01
China,Super League,2025,18/10/2025,12:35,Zhejiang Professional,Shandong Taishan,2,2,D,2.39,4.14,2.64,2.3,4.2,2.8,2.22,3.96,2.57,2.44,4.2,2.76,2.3,4.1,2.5
China,Super League,2025,18/10/2025,13:00,Yunnan Yukun,Tianjin Jinmen Tiger,2,0,H,1.84,3.77,4.3,1.88,3.6,4.1,1.85,3.48,3.81,1.96,3.7,4.4,1.86,3.4,4.1
China,Super League,2025,19/10/2025,08:30,Dalian Yingbo,Wuhan Three Towns,0,0,D,2.3,3.81,2.93,2.16,3.75,3.25,2.11,3.57,2.96,2.16,3.9,3.4,2.05,3.5,3.25
China,Super League,2025,19/10/2025,12:35,Henan Songshan Longmen,Changchun Yatai,2,0,H,1.57,4.63,5.18,1.35,5.66,7.5,1.32,5.4,6.78,1.38,6.2,8,1.3,5.5,7
China,Super League,2025,24/10/2025,12:35,Meizhou Hakka,Yunnan Yukun,1,4,A,1.67,4.28,4.38,1.75,4.2,4.2,1.7,4.05,3.93,1.78,4.7,4.2,1.68,4.2,4.1
China,Super League,2025,24/10/2025,12:35,Wuhan Three Towns,Shenzhen Xinpengcheng,1,2,A,2.27,3.25,3.25,2.95,3.3,2.65,2.74,3.2,2.42,3.15,3.4,2.54,2.95,3.3,2.25
China,Super League,2025,25/10/2025,08:30,Tianjin Jinmen Tiger,Changchun Yatai,2,2,D,1.79,3.73,4.29,1.86,3.6,4.75,1.8,3.48,4.06,1.93,3.7,4.5,1.71,3.6,4.75
China,Super League,2025,25/10/2025,12:00,Henan Songshan Longmen,Zhejiang Professional,2,2,D,1.85,4.14,3.61,1.71,4.5,3.9,1.68,4.35,3.71,1.78,4.9,4,1.66,4.5,3.9
China,Super League,2025,26/10/2025,07:30,Shandong Taishan,Shanghai Port,3,1,H,2.91,4.05,2.15,2.18,4.35,2.9,2.1,4.05,2.73,2.22,4.5,2.92,2.05,4.2,2.85
China,Super League,2025,26/10/2025,10:30,Qingdao West Coast,Chengdu Rongcheng,2,2,D,6.71,4.85,1.41,9.5,6,1.33,8.25,5.37,1.28,9.4,6,1.37,8.5,6,1.24
China,Super League,2025,26/10/2025,11:35,Beijing Guoan,Qingdao Hainiu,2,4,A,1.51,4.85,5.2,1.44,5.33,6.5,1.39,5.04,5.88,1.45,5.5,6.8,1.39,5.25,5.75
China,Super League,2025,26/10/2025,11:35,Shanghai Shenhua,Dalian Yingbo,2,2,D,1.18,7.39,12.05,1.23,6.5,11,1.2,6.33,10.13,1.23,8.2,13.5,1.19,6.5,10
China,Super League,2025,31/10/2025,10:00,Shanghai Port,Zhejiang Professional,3,0,H,,,,1.62,4.75,4.75,1.57,4.43,4.37,1.66,5.1,4.8,1.57,4.5,4.33
China,Super League,2025,31/10/2025,11:35,Chengdu Rongcheng,Henan Songshan Longmen,1,2,A,,,,1.38,5.6,8.5,1.34,5.01,7.08,1.37,6,9.4,1.33,5,8.5
China,Super League,2025,31/10/2025,12:00,Shanghai Shenhua,Shenzhen Xinpengcheng,1,0,H,,,,1.24,7,13,1.19,6.45,10.5,1.22,8.4,15,1.17,7,12
China,Super League,2025,01/11/2025,07:30,Changchun Yatai,Beijing Guoan,0,4,A,,,,2.55,4,2.55,2.38,3.76,2.44,2.44,4.3,2.66,2.35,3.9,2.45
