Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2022;Spain;Costa Rica;23.11.2022;16:00;7;0;3;0;4;0;;;;;90 minutes;17;0;7;0;8;12;5;0;0;2;0;0;1,12;9;17;1,17;9,4;23;1,17;9;23;1,14;8,33;17,4
World Cup 2022;Germany;Japan;23.11.2022;13:00;1;2;1;0;0;2;;;;;90 minutes;25;10;9;3;6;14;6;6;0;0;0;0;1,4;5;7,5;1,48;5,1;7,6;1,45;5;7,5;1,41;4,85;7,17
World Cup 2022;Morocco;Croatia;23.11.2022;10:00;0;0;0;0;0;0;;;;;Penalties;8;6;2;2;17;11;0;5;1;0;0;0;3,4;3,25;2,25;3,6;3,35;2,34;3,55;3,25;2,25;3,44;3,22;2,21
World Cup 2022;France;Australia;22.11.2022;19:00;4;1;2;1;2;0;;;;;90 minutes;22;4;7;1;5;11;8;1;0;3;0;0;1,18;7;15;1,24;7,2;15;1,23;7,25;15;1,2;6,58;13,69
World Cup 2022;Mexico;Poland;22.11.2022;16:00;0;0;0;0;0;0;;;;;90 minutes;13;8;4;1;14;16;6;5;2;1;0;0;2,45;3,1;3,2;2,58;3,2;3,3;2,55;3,15;3,2;2,47;3,09;3,09
World Cup 2022;Denmark;Tunisia;22.11.2022;13:00;0;0;0;0;0;0;;;;;90 minutes;11;11;4;1;9;10;11;9;2;1;0;0;1,57;4;6;1,62;3,95;7,4;1,6;4;7,5;1,57;3,82;6,45
World Cup 2022;Argentina;Saudi Arabia;22.11.2022;10:00;1;2;1;0;0;2;;;;;Penalties;14;3;6;2;7;21;9;2;0;6;0;0;1,11;8,5;23;1,13;11;34;1,13;10;31;1,11;9,08;25,5
World Cup 2022;USA;Wales;21.11.2022;19:00;1;1;1;0;0;1;;;;;90 minutes;6;7;1;3;15;10;5;3;4;2;0;0;2,45;3,1;3,2;2,56;3,2;3,3;2,5;3,1;3,4;2,43;3,07;3,17
World Cup 2022;Senegal;Netherlands;21.11.2022;16:00;0;2;0;0;0;2;;;;;Extra time;14;9;3;3;13;13;6;7;2;1;0;0;5,5;3,6;1,66;6,4;3,8;1,72;6,25;3,75;1,68;5,85;3,63;1,65
World Cup 2022;England;Iran;21.11.2022;13:00;6;2;3;0;3;2;;;;;90 minutes;13;8;7;3;9;14;8;0;0;2;0;0;1,36;4,75;9;1,39;4,9;12;1,4;4,75;11;1,37;4,56;10,14
World Cup 2022;Qatar;Ecuador;20.11.2022;16:00;0;2;0;2;0;0;;;;;90 minutes;5;6;0;3;15;15;1;3;4;2;0;0;3,75;3;2,2;4;3,2;2,26;3,75;3,2;2,25;3,59;3,11;2,22
